:START_ID,:END_ID,relation,:TYPE
HN3126,XW4,flavor_is,flavor
HN3126,XW37,flavor_is,flavor
HN3126,XW36,flavor_is,flavor
HN4453,XW4,flavor_is,flavor
HN4453,XW37,flavor_is,flavor
HN4453,XW36,flavor_is,flavor
HN3725,XW37,flavor_is,flavor
HN3725,XW36,flavor_is,flavor
HN3725,XW35,flavor_is,flavor
HN8081,XW37,flavor_is,flavor
HN8081,XW12,flavor_is,flavor
HN8391,XW37,flavor_is,flavor
HN8391,XW12,flavor_is,flavor
HN927,XW37,flavor_is,flavor
HN927,XW36,flavor_is,flavor
HN927,XW35,flavor_is,flavor
HN5591,XW7,flavor_is,flavor
HN5591,XW4,flavor_is,flavor
HN5591,XW35,flavor_is,flavor
HN5591,XW23,flavor_is,flavor
HN6178,XW36,flavor_is,flavor
HN6178,XW35,flavor_is,flavor
HN2351,XW37,flavor_is,flavor
HN2351,XW36,flavor_is,flavor
HN41,XW7,flavor_is,flavor
HN41,XW4,flavor_is,flavor
HN41,XW35,flavor_is,flavor
HN41,XW23,flavor_is,flavor
HN6673,XW4,flavor_is,flavor
HN6673,XW35,flavor_is,flavor
HN6673,XW25,flavor_is,flavor
HN7196,XW4,flavor_is,flavor
HN7196,XW37,flavor_is,flavor
HN7196,XW35,flavor_is,flavor
HN7196,XW25,flavor_is,flavor
HN1125,XW35,flavor_is,flavor
HN1125,XW31,flavor_is,flavor
HN1297,XW4,flavor_is,flavor
HN1297,XW36,flavor_is,flavor
HN3006,XW4,flavor_is,flavor
HN3006,XW25,flavor_is,flavor
HN6072,XW35,flavor_is,flavor
HN6072,XW31,flavor_is,flavor
HN7213,XW4,flavor_is,flavor
HN7213,XW36,flavor_is,flavor
HN7213,XW35,flavor_is,flavor
HN3986,XW4,flavor_is,flavor
HN3986,XW31,flavor_is,flavor
HN8617,XW4,flavor_is,flavor
HN8617,XW31,flavor_is,flavor
HN8617,XW22,flavor_is,flavor
HN7792,XW4,flavor_is,flavor
HN7792,XW31,flavor_is,flavor
HN3238,XW37,flavor_is,flavor
HN3238,XW36,flavor_is,flavor
